timestamp,power_draw_W
2025-10-14T01:33:14.685616+00:00,2.61
2025-10-14T01:33:15.741556+00:00,2.57
2025-10-14T01:33:16.798630+00:00,2.70
2025-10-14T01:33:17.858378+00:00,2.56
2025-10-14T01:33:18.916971+00:00,2.82
2025-10-14T01:33:19.974321+00:00,2.61
2025-10-14T01:33:21.050872+00:00,2.64
2025-10-14T01:33:22.105166+00:00,2.78
2025-10-14T01:33:23.159184+00:00,2.58
2025-10-14T01:33:24.217930+00:00,3.04
2025-10-14T01:33:25.287800+00:00,2.73
2025-10-14T01:33:26.347178+00:00,2.56
2025-10-14T01:33:27.401962+00:00,2.65
2025-10-14T01:33:28.470481+00:00,2.59
2025-10-14T01:33:29.530302+00:00,2.73
2025-10-14T01:33:30.586432+00:00,2.61
2025-10-14T01:33:31.645396+00:00,2.71
2025-10-14T01:33:32.695661+00:00,2.63
2025-10-14T01:33:33.773833+00:00,2.56
2025-10-14T01:33:34.831260+00:00,2.81
2025-10-14T01:33:35.886077+00:00,2.55
2025-10-14T01:33:36.926894+00:00,2.87
2025-10-14T01:33:37.980422+00:00,3.16
2025-10-14T01:33:39.044801+00:00,2.78
2025-10-14T01:33:40.105327+00:00,3.27
2025-10-14T01:33:41.155657+00:00,2.67
2025-10-14T01:33:42.218140+00:00,2.74
2025-10-14T01:33:43.287372+00:00,2.67
2025-10-14T01:33:44.338700+00:00,2.81
2025-10-14T01:33:45.395469+00:00,2.70
2025-10-14T01:33:46.454755+00:00,2.70
2025-10-14T01:33:47.512843+00:00,2.60
2025-10-14T01:33:48.584284+00:00,2.61
2025-10-14T01:33:49.642553+00:00,2.86
2025-10-14T01:33:50.701335+00:00,2.74
2025-10-14T01:33:51.761709+00:00,2.83
2025-10-14T01:33:52.819595+00:00,2.62
2025-10-14T01:33:53.885018+00:00,2.98
2025-10-14T01:33:54.941931+00:00,2.85
2025-10-14T01:33:55.999815+00:00,2.60
2025-10-14T01:33:57.064987+00:00,2.78
2025-10-14T01:33:58.113732+00:00,2.87
2025-10-14T01:33:59.175482+00:00,2.72
2025-10-14T01:34:00.227012+00:00,3.01
2025-10-14T01:34:01.284238+00:00,3.65
2025-10-14T01:34:02.343434+00:00,2.59
2025-10-14T01:34:03.402424+00:00,2.68
